,sup_id,chinese_name,translated_name,company,translated_company,sup_email,sup_phone
71,KD6230M,王桂荣,wang gui rong,MBP软件科技有限公司,M B P ruan jianke ji you xian gong si,wgr@MBPruanjian.com,18647876951
72,NU6501E,王淑英,wang shu ying,浦华众城传媒有限公司,pu hua zhong chengchuan mei you xian gong si,wsy@puhuazhongcheng.com,18206316055
73,ED9153F,吴丽华,wu li hua,精芯信息有限公司,jing xinxin xi you xian gong si,wlh@jingxin.com,13258459863
74,HR5714G,刘芳,liu fang,太极传媒有限公司,tai jichuan mei you xian gong si,lf@taiji.com,13213156253
75,ZF6644N,罗桂珍,luo gui zhen,新宇龙信息网络有限公司,xin yu long xin xiwang luo you xian gong si,lgz@xinyulongxinxi.com,13111098172
76,SZ1060M,乔桂珍,qiao gui zhen,信诚致远网络有限公司,xin cheng zhi yuanwang luo you xian gong si,qgz@xinchengzhiyuan.com,15724077825
77,YK0606U,喻桂英,yu gui ying,中建创业网络有限公司,zhong jian chuang yewang luo you xian gong si,ygy@zhongjianchuangye.com,13428596996
78,AP3057R,张桂花,zhang gui hua,浙大万朋网络有限公司,zhe da wan pengwang luo you xian gong si,zgh@zhedawanpeng.com,18229550117
79,BR9963U,王雪,wang xue,巨奥信息有限公司,ju aoxin xi you xian gong si,wx@juao.com,13369172318
80,NG1244R,孔伟,kong wei,东方峻景信息有限公司,dong fang jun jingxin xi you xian gong si,kw@dongfangjunjing.com,14506352229
81,CC8633E,孙桂芝,sun gui zhi,中建创业传媒有限公司,zhong jian chuang yechuan mei you xian gong si,sgz@zhongjianchuangye.com,15894412130
82,GR7627B,陈志强,chen zhi qiang,雨林木风计算机信息有限公司,yu lin mu feng ji suan jixin xi you xian gong si,czq@yulinmufengjisuanji.com,13917601059
83,QF5914B,梁淑珍,liang shu zhen,济南亿次元传媒有限公司,ji nan yi ci yuanchuan mei you xian gong si,lsz@jinanyiciyuan.com,18068417756
84,PM8431H,叶建,ye jian,中建创业网络有限公司,zhong jian chuang yewang luo you xian gong si,yj@zhongjianchuangye.com,13614345284
85,MX5827S,王云,wang yun,凌云科技有限公司,ling yunke ji you xian gong si,wy@lingyun.com,18878398321
86,ZF9771V,陈云,chen yun,图龙信息信息有限公司,tu long xin xixin xi you xian gong si,cy@tulongxinxi.com,18707524953
87,UH6010K,李瑞,li rui,诺依曼软件网络有限公司,nuo yi man ruan jianwang luo you xian gong si,lr@nuoyimanruanjian.com,15780500284
88,GB5581A,唐建,tang jian,明腾传媒有限公司,ming tengchuan mei you xian gong si,tj@mingteng.com,18100204311
89,YD8853A,单秀芳,dan xiu fang,海创网络有限公司,hai chuangwang luo you xian gong si,dxf@haichuang.com,15382290089
90,JN2812V,韩琴,han qin,菊风公司网络有限公司,ju feng gong siwang luo you xian gong si,hq@jufenggongsi.com,18549528393
91,AM8527A,王云,wang yun,凌云传媒有限公司,ling yunchuan mei you xian gong si,wy@lingyun.com,13935281056
92,WD6510D,张桂珍,zhang gui zhen,飞利信网络有限公司,fei li xinwang luo you xian gong si,zgz@feilixin.com,15343291882
93,DE4281E,周金凤,zhou jin feng,方正科技传媒有限公司,fang zheng ke jichuan mei you xian gong si,zjf@fangzhengkeji.com,18131671237
94,HW1976T,覃想,tan xiang,同兴万点信息有限公司,tong xing wan dianxin xi you xian gong si,tx@tongxingwandian.com,18670990151
95,KM8655W,廖辉,liao hui,九方传媒有限公司,jiu fangchuan mei you xian gong si,lh@jiufang.com,18625260375
96,ZK6312V,张秀华,zhang xiu hua,晖来计算机传媒有限公司,hui lai ji suan jichuan mei you xian gong si,zxh@huilaijisuanji.com,15621146195
97,ZU0179Y,高英,gao ying,佳禾科技有限公司,jia heke ji you xian gong si,gy@jiahe.com,13746883327
98,YM0651S,傅丽,fu li,天益传媒有限公司,tian yichuan mei you xian gong si,fl@tianyi.com,13326558957
99,WX8469D,杨娜,yang nuo,合联电子传媒有限公司,he lian dian zichuan mei you xian gong si,yn@heliandianzi.com,15642755847
